lcl|PTER01000010.1_prot_PTN15390.1_1	sp|Q12525|MHT1_YEAST	100.000	324	0	0	1	324	1	324	0.0	672
lcl|PTER01000010.1_prot_PTN15391.1_2	sp|Q12372|MMP1_YEAST	100.000	178	0	0	1	178	1	178	9.91e-126	363
lcl|PTER01000010.1_prot_PTN15392.1_3	sp|Q12372|MMP1_YEAST	100.000	370	0	0	1	370	214	583	0.0	758
lcl|PTER01000010.1_prot_PTN15393.1_4	sp|Q12390|GST2_YEAST	99.535	215	1	0	1	215	19	233	1.14e-162	446
lcl|PTER01000010.1_prot_PTN15394.1_5	sp|Q12198|METW_YEAST	98.087	575	11	0	1	575	1	575	0.0	1157
lcl|PTER01000010.1_prot_PTN15395.1_6	sp|Q12358|JLP1_YEAST	99.515	412	2	0	1	412	1	412	0.0	847
lcl|PTER01000010.1_prot_PTN15396.1_7	sp|Q12177|YL056_YEAST	98.658	298	4	0	1	298	1	298	0.0	603
lcl|PTER01000010.1_prot_PTN15397.1_8	sp|Q12235|YCT1_YEAST	99.435	531	3	0	1	531	1	531	0.0	1067
lcl|PTER01000010.1_prot_PTN15398.1_9	sp|Q12244|YL054_YEAST	99.881	843	1	0	1	843	1	843	0.0	1725
lcl|PTER01000010.1_prot_PTN15399.1_10	sp|P0CD91|AQY1_YEAST	86.063	287	40	0	2	288	3	289	0.0	503
lcl|PTER01000010.1_prot_PTN15400.1_11	sp|Q12473|FRE6_YEAST	99.579	712	3	0	1	712	1	712	0.0	1458
lcl|PTER01000010.1_prot_PTN15401.1_12	sp|Q03048|COFI_YEAST	100.000	143	0	0	1	143	1	143	9.13e-105	293
lcl|PTER01000010.1_prot_PTN15402.1_13	sp|Q07887|LDB18_YEAST	97.207	179	5	0	1	179	1	179	1.28e-129	358
lcl|PTER01000010.1_prot_PTN15403.1_14	sp|P32386|YBT1_YEAST	99.579	1661	7	0	1	1661	1	1661	0.0	3397
lcl|PTER01000010.1_prot_PTN15404.1_15	sp|P32385|RNP1_YEAST	100.000	184	0	0	1	184	66	249	7.50e-130	362
lcl|PTER01000010.1_prot_PTN15405.1_16	sp|P29453|RL8B_YEAST	99.609	256	1	0	1	256	1	256	0.0	517
